"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Memory_Ants.nlogox"
"1 гипотеза"
"06/08/2026 21:11:23:379 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","use-memory?","evaporation-rate","diffusion-rate","more-food?","[step]","total-food-count","count turtles","[length my-memory] of turtles"
"133","false","10","0","false","1000","66","1","[0]"
"135","false","10","0","false","1000","61","1","[0]"
"134","false","10","0","false","1000","60","0","[]"
"136","false","10","0","false","1000","49","1","[0]"
"137","false","10","0","false","1000","63","0","[]"
"138","false","10","0","false","1000","53","0","[]"
"139","false","10","0","false","1000","49","0","[]"
"140","false","10","0","false","1000","65","0","[]"
"141","false","10","0","true","1000","210","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"142","false","10","0","true","1000","210","11","[0 0 0 0 0 0 0 0 0 0 0]"
"143","false","10","0","true","1000","221","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"144","false","10","0","true","1000","194","7","[0 0 0 0 0 0 0]"
"145","false","10","0","true","1000","190","9","[0 0 0 0 0 0 0 0 0]"
"146","false","10","0","true","1000","196","8","[0 0 0 0 0 0 0 0]"
"147","false","10","0","true","1000","231","16","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"148","false","10","0","true","1000","237","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"149","false","10","0","true","1000","228","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"150","false","10","0","true","1000","223","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"151","false","10","0","true","1000","236","11","[0 0 0 0 0 0 0 0 0 0 0]"
"154","false","10","0","true","1000","222","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"152","false","10","0","true","1000","175","10","[0 0 0 0 0 0 0 0 0 0]"
"153","false","10","0","true","1000","167","8","[0 0 0 0 0 0 0 0]"
"155","false","10","0","true","1000","195","9","[0 0 0 0 0 0 0 0 0]"
"156","false","10","0","true","1000","238","14","[0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"157","false","10","0","true","1000","232","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
